2016/06/10 02:13:08:114  -[VCPageViewController applicationDidBecomeActive:] [Line 397] --- call syncReadingStatusData
2016/06/10 02:13:08:115  -[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:] [Line 728] --- 
2016/06/10 02:13:08:115  -[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:] [Line 731] --- callAPI
2016/06/10 02:13:08:115  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = user_status_get.php?token=BF937975CBDACFE097BA3A55D7D4F010&book_name=%E6%80%AA%E5%8E%A8
2016/06/10 02:13:08:516  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
2016/06/10 02:13:08:516  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗罗大陆
2016/06/10 02:13:08:516  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 斗破苍穹
2016/06/10 02:13:08:516  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 完美世界
2016/06/10 02:13:08:516  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 偷天
2016/06/10 02:13:08:516  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 怪厨
2016/06/10 02:13:08:516  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 大主宰
2016/06/10 02:13:08:516  __76-[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:]_block_invoke [Line 800] --- what were stored in core data are the lastest data. so update server
2016/06/10 02:13:08:517  __76-[VCPageViewController syncReadingStatusDataAndShowErrorMessage:completion:]_block_invoke [Line 806] --- callAPI
2016/06/10 02:13:08:517  -[VCReaderAPIClient callAPI:params:showErrorMessage:success:failure:completion:] [Line 67] --- encoded path = user_status_add.php?current_reading_chapter=1162&timestamp=1465475562247&current_reading_word=757&token=BF937975CBDACFE097BA3A55D7D4F010&book_name=%E6%80%AA%E5%8E%A8
2016/06/10 02:13:08:517  -[VCPageViewController loadContent] [Line 371] --- 
2016/06/10 02:13:08:517  -[VCCoreDataCenter getReadingStatusForBook:] [Line 183] --- loop through books for user with token= BF937975CBDACFE097BA3A55D7D4F010 and book name = 校花的贴身高手
